Date,Open,High,Low,Close,Adj Close,Volume
2013-01-01,148.518784,149.625031,146.68129,148.83754,135.695358,2123743
2013-01-02,149.362534,149.718781,146.887543,147.656281,134.618439,2283188
2013-01-03,148.312531,149.625031,147.693787,149.175034,136.003067,4646500
2013-01-04,149.58754,151.83754,149.11879,151.36879,138.003128,4531406
2013-01-07,151.406281,153.187531,151.143784,151.856293,138.447586,3332353
2013-01-08,151.08754,151.781281,148.350037,149.30629,136.122726,2919271
2013-01-09,149.343781,150.33754,147.581284,148.893784,135.746643,3836260
2013-01-10,149.550034,152.175034,147.562531,148.350037,135.250916,4953124
2013-01-11,152.250031,158.550034,151.706284,157.481293,143.575897,12020132
2013-01-14,158.643784,159.33754,156.506287,157.18129,143.302368,4215892
2013-01-15,158.062546,158.850037,156.375046,157.856293,143.917755,2605172
2013-01-16,157.875046,159.375046,156.112534,157.481293,143.575897,4112860
2013-01-17,159.000046,163.687546,158.40004,161.512543,147.25119,10413269
2013-01-18,164.250046,164.850037,148.218781,149.006287,135.849197,21369383
2013-01-21,150.393784,150.675034,147.468781,149.081284,135.917587,7674435
2013-01-22,149.30629,151.218781,148.46254,149.531281,136.32785,5936897
2013-01-23,148.968781,151.106293,148.856293,150.656281,138.045914,4127670
2013-01-24,150.750031,153.000031,150.675034,151.856293,139.145508,3941969
2013-01-25,151.500031,153.15004,150.225037,152.86879,140.073212,3394369
2013-01-28,152.96254,156.468796,152.062531,155.081284,142.100525,3823759
2013-01-29,153.843781,154.875031,152.043793,153.24379,140.41684,3270951
2013-01-30,152.925034,156.33754,151.93129,155.568787,142.547226,2744537
2013-01-31,154.537537,155.812531,152.475037,154.331284,141.41333,3619740
2013-02-01,153.750031,155.043793,152.643784,152.850037,140.056046,2958335
2013-02-04,153.112534,153.881287,152.193787,153.037537,140.227859,2721991
2013-02-05,152.250031,152.981293,150.975037,152.625031,139.849838,2135535
2013-02-06,153.262543,153.731293,150.787537,152.11879,139.386002,2220772
2013-02-07,151.125031,152.850037,150.375031,152.137543,139.403198,1276365
2013-02-08,153.000031,155.812531,151.218781,154.65004,141.705383,2839220
2013-02-11,155.250031,157.818787,153.037537,153.562531,140.708893,3941100
2013-02-12,153.750031,155.137543,151.968781,154.443787,141.516388,2254050
2013-02-13,154.593781,155.96254,152.40004,153.543793,140.691772,2928809
2013-02-14,151.950043,152.250031,147.750031,148.425034,136.001419,7786752
2013-02-15,148.125031,150.90004,144.412537,149.718781,137.186859,4117204
2013-02-18,149.156281,151.500031,147.61879,151.08754,138.441071,3053295
2013-02-19,151.518784,154.537537,150.225037,154.031281,141.138412,2524548
2013-02-20,154.125031,155.77504,153.318787,154.612534,141.671005,2735844
2013-02-21,153.80629,156.206284,151.443787,152.175034,139.437546,3562929
2013-02-22,151.687531,156.918793,151.18129,155.981293,142.925217,5791361
2013-02-25,156.075043,159.675034,156.075043,157.162537,144.007599,4938876
2013-02-26,156.356293,157.706284,154.818787,155.96254,142.90802,3857225
2013-02-27,156.750046,158.49379,154.93129,156.937546,143.801422,4126692
2013-02-28,157.500046,159.562546,154.312531,156.15004,143.079803,7672998
2013-03-01,157.500046,159.562546,156.90004,158.137543,144.90097,3503623
2013-03-04,157.518784,159.300034,156.80629,157.312546,144.145035,3548212
2013-03-05,157.518784,162.99379,157.125046,162.393784,148.800934,6809664
2013-03-06,162.562546,167.250046,162.543793,165.71254,151.841934,5316153
2013-03-07,166.162537,169.800049,166.162537,168.506287,154.401825,7307272
2013-03-08,168.33754,171.000046,166.612534,167.006287,153.02739,6871182
2013-03-11,166.031296,168.543793,164.100037,164.831284,151.034424,4187745
2013-03-12,165.037537,166.387543,162.862534,164.49379,150.725159,2996692
2013-03-13,164.21254,166.968796,163.27504,164.737534,150.948517,3390385
2013-03-14,164.737534,166.406296,162.90004,164.437546,150.673645,2760588
2013-03-15,164.58754,166.012543,163.55629,165.356293,151.515488,2154351
2013-03-18,164.40004,165.318787,162.000046,162.61879,149.007156,1355546
2013-03-19,163.125046,164.58754,161.137543,162.61879,149.007156,1939332
2013-03-20,162.506287,163.406296,159.90004,161.231293,147.735779,4026894
2013-03-21,161.437546,163.968796,160.256287,163.031296,149.385132,2689103
2013-03-22,163.237534,164.793793,160.93129,163.387543,149.711563,3157057
2013-03-25,164.737534,165.15004,161.081284,161.756287,148.216797,4250494
2013-03-26,161.812546,165.412537,159.937546,164.231293,150.484634,3204169
2013-03-28,162.731293,165.71254,161.77504,163.93129,150.209763,8955264
2013-04-01,163.987534,165.656296,160.537537,161.625046,148.096573,2334743
2013-04-02,161.625046,169.200043,160.387543,168.61879,154.504929,5075377
2013-04-03,167.662537,170.512543,167.250046,168.225037,154.144135,5231316
2013-04-04,167.625046,169.406296,165.562546,166.912537,152.941498,4352132
2013-04-05,165.562546,173.625046,164.531296,170.475037,156.205795,4820089
2013-04-08,169.312546,171.000046,161.081284,168.300049,154.21283,16361745
2013-04-09,152.625031,156.750046,146.343781,147.637543,135.279861,18895517
2013-04-10,148.162537,151.800034,148.162537,150.843781,138.217697,6501163
