Date,Open,High,Low,Close,Adj Close,Volume
2015-01-02,5.76,5.81,5.63,5.665,5.399906,791000
2015-01-05,5.645,5.645,5.56,5.595,5.333182,1489800
2015-01-06,5.6,5.605,5.44,5.515,5.256924,729000
2015-01-07,5.575,5.605,5.51,5.58,5.318883,600800
2015-01-08,5.645,5.695,5.625,5.665,5.399906,720600
2015-01-09,5.725,5.75,5.59,5.61,5.347479,1436600
2015-01-12,5.62,5.685,5.57,5.64,5.376076,907800
2015-01-13,5.715,5.805,5.69,5.745,5.476162,985600
2015-01-14,5.635,5.715,5.57,5.615,5.352245,928800
2015-01-15,5.69,5.725,5.525,5.53,5.271223,2527800
2015-01-16,5.715,6.14,5.625,6.06,5.776422,2276600
2015-01-20,6.0,6.065,5.935,5.97,5.690632,906400
2015-01-21,5.935,6.125,5.89,6.12,5.873458,1435400
2015-01-22,6.17,6.465,6.12,6.465,6.20456,2739000
2015-01-23,6.425,6.44,6.23,6.345,6.089395,1109600
2015-01-26,6.3,6.48,6.3,6.445,6.185366999999999,905000
2015-01-27,6.38,6.535,6.34,6.49,6.228553,1395600
2015-01-28,6.56,6.66,6.495,6.61,6.343719999999999,2121400
2015-01-29,6.525,6.575,6.45,6.545,6.281338,1455600
2015-01-30,6.45,6.515,6.36,6.43,6.17097,1233200
2015-02-02,6.535,6.555,6.43,6.53,6.266943,1026000
2015-02-03,6.545,6.665,6.485,6.625,6.358115,1588800
2015-02-04,6.625,6.68,6.545,6.555,6.290934,1666200
2015-02-05,6.575,6.775,6.525,6.71,6.439691000000001,2030000
2015-02-06,6.73,6.75,6.64,6.69,6.420497,930200
2015-02-09,6.685,6.84,6.615,6.755,6.482879000000001,1295600
2015-02-10,6.74,6.84,6.695,6.805,6.530864,965400
2015-02-11,6.79,6.845,6.785,6.81,6.535663,944400
2015-02-12,6.875,7.0,6.85,6.955,6.674821000000001,1278000
2015-02-13,7.0,7.09,6.975,7.09,6.804383000000001,980000
2015-02-17,7.02,7.055,6.975,6.995,6.713210000000001,779800
2015-02-18,6.995,7.02,6.845,6.895,6.617238,1618400
2015-02-19,6.83,6.94,6.755,6.915,6.636433,798600
2015-02-20,6.86,6.905,6.815,6.89,6.612439999999999,676600
2015-02-23,6.82,6.92,6.805,6.805,6.530864,1067000
2015-02-24,6.83,6.915,6.805,6.875,6.598044,1106800
