Date,Open,High,Low,Close,Adj Close,Volume
2016-01-04,28.299999,28.360001,27.76,28.33,28.318171,1442700
2016-01-05,28.120001,28.17,27.4,27.67,27.658445,1898200
2016-01-06,27.049999,27.15,26.74,26.92,26.908758,1533000
2016-01-07,25.620001,25.92,25.129999,25.27,25.259447,2118200
2016-01-08,26.02,26.51,25.549999,25.58,25.569319,1642100
2016-01-11,26.66,26.73,26.120001,26.450001,26.438955,2242500
2016-01-12,26.610001,26.98,26.469999,26.799999,26.788807,2091700
2016-01-13,27.27,27.370001,26.42,26.639999,26.628876,2016300
2016-01-14,26.16,26.18,25.5,26.08,26.069109,2360200
2016-01-15,24.93,24.99,24.48,24.84,24.829628,1592000
2016-01-19,25.82,25.950001,25.43,25.610001,25.599306,1938500
2016-01-20,24.950001,24.950001,24.110001,24.469999,24.459782,3131500
2016-01-21,24.209999,24.540001,23.9,24.459999,24.449785,2472000
2016-01-22,25.1,25.200001,24.870001,25.120001,25.10951,1414500
2016-01-25,24.389999,24.809999,24.379999,24.49,24.479773,1511100
2016-01-26,24.58,25.23,24.48,25.219999,25.209467,1736000
2016-01-27,24.93,25.42,24.629999,24.73,24.719673,1699200
2016-01-28,24.74,24.879999,23.780001,23.98,23.969986,1932800
2016-01-29,24.549999,24.98,24.469999,24.98,24.969568,1438600
2016-02-01,24.82,25.629999,24.75,25.5,25.489351,2013800
2016-02-02,24.4,24.530001,24.110001,24.15,24.139915,2483800
2016-02-03,23.889999,24.32,23.35,24.219999,24.209885,1984000
2016-02-04,24.129999,24.92,24.129999,24.690001,24.679689,1887100
2016-02-05,24.879999,24.950001,24.309999,24.620001,24.60972,1104100
2016-02-08,23.950001,23.99,23.27,23.790001,23.780066,1238100
2016-02-09,22.809999,23.299999,22.639999,22.959999,22.950411,2369300
2016-02-10,21.76,22.719999,21.700001,22.41,22.400642,3371700
2016-02-11,20.620001,20.790001,20.0,20.559999,20.551414,3173800
2016-02-12,21.93,22.6,21.360001,21.540001,21.531006,2321000
2016-02-16,22.23,22.48,21.889999,22.129999,22.120758,1485400
2016-02-17,22.9,23.309999,22.74,22.959999,22.950411,1380700
2016-02-18,23.040001,23.35,22.98,23.09,23.080359,1411400
