,Date,Open,High,Low,Close,Adj Close,Volume
0,2010-01-04,7184.97998,7331.120117,7184.97998,7326.740234000001,7326.740234000001,3991400000
1,2010-01-05,7326.740234000001,7359.459961,7313.600098000001,7354.870117,7354.870117,2491020000
2,2010-01-06,7354.850098000001,7389.279785,7342.490234000001,7377.700195,7377.700195,4972660000
3,2010-01-07,7377.700195,7398.209961,7325.509765999999,7393.930176000001,7393.930176000001,5270680000
4,2010-01-08,7393.930176000001,7426.410156,7367.810059,7425.350098000001,7425.350098000001,4389590000
5,2010-01-11,7425.609863,7471.310059,7419.569823999999,7449.049805,7449.049805,4255780000
6,2010-01-12,7449.049805,7449.049805,7340.939941,7370.450195,7370.450195,4716160000
7,2010-01-13,7370.470215,7441.180176000001,7349.419922,7430.140137,7430.140137,4170360000
8,2010-01-14,7430.140137,7458.160156,7417.950195,7448.52002,7448.52002,3915200000
9,2010-01-15,7448.509765999999,7448.509765999999,7326.540039,7356.790039,7356.790039,4758730000
10,2010-01-19,7356.790039,7443.680176000001,7352.459961,7443.680176000001,7443.680176000001,4724830000
11,2010-01-20,7443.669922,7443.669922,7269.930176000001,7329.830078,7329.830078,4810560000
12,2010-01-21,7329.839844,7345.939941,7166.620117,7174.459961,7174.459961,6874290000
13,2010-01-22,7174.459961,7174.459961,7021.029785,7030.609863,7030.609863,6208650000
14,2010-01-25,7030.609863,7118.220215,7030.609863,7073.129883,7073.129883,4481390000
15,2010-01-26,7073.140137,7098.77002,7008.97998,7028.319823999999,7028.319823999999,4731910000
16,2010-01-27,7028.419922,7044.52002,6944.080078,7035.609863,7035.609863,5319120000
17,2010-01-28,7035.620117,7061.609863,6913.299805,6956.990234000001,6956.990234000001,5452400000
18,2010-01-29,6956.990234000001,7029.290039,6869.209961,6883.779785,6883.779785,5412850000
19,2010-02-01,6883.790039,7008.390137,6883.790039,7008.22998,7008.22998,4077610000
20,2010-02-02,7008.470215,7111.52002,7005.839844,7101.439941,7101.439941,4749540000
21,2010-02-03,7101.430176000001,7101.430176000001,7023.169922,7042.620117,7042.620117,4285450000
22,2010-02-04,7042.569823999999,7042.569823999999,6786.27002,6787.859863,6787.859863,5859690000
23,2010-02-05,6787.859863,6799.810059,6631.509765999999,6782.75,6782.75,6438900000
24,2010-02-08,6782.740234000001,6815.97998,6712.450195,6713.870117,6713.870117,4089820000
25,2010-02-09,6713.899901999999,6887.339844,6713.899901999999,6835.160156,6835.160156,5114260000
26,2010-02-10,6835.160156,6850.97998,6756.319823999999,6819.120117,6819.120117,4251450000
27,2010-02-11,6819.120117,6901.450195,6769.399901999999,6898.720215,6898.720215,4400870000
28,2010-02-12,6898.720215,6898.720215,6783.109863,6874.560059,6874.560059,4160680000
29,2010-02-16,6874.560059,7020.339844,6874.560059,7013.350098000001,7013.350098000001,4080770000
30,2010-02-17,7013.350098000001,7059.890137,7008.700195,7035.200195,7035.200195,4259230000
31,2010-02-18,7035.189941,7087.660156,7022.120117,7080.379883,7080.379883,3878620000
32,2010-02-19,7080.379883,7096.200195,7022.52002,7083.25,7083.25,3944280000
33,2010-02-22,7083.25,7109.040039,7067.439941,7078.529785,7078.529785,3814440000
34,2010-02-23,7078.529785,7078.529785,6961.850098000001,6974.600098000001,6974.600098000001,4521050000
35,2010-02-24,6974.600098000001,7043.910156,6973.080078,7030.669922,7030.669922,4168360000
36,2010-02-25,7030.609863,7030.609863,6896.02002,7013.450195,7013.450195,4521130000
37,2010-02-26,7013.450195,7050.0,6968.430176000001,7035.040039,7035.040039,3945190000
38,2010-03-01,7035.049805,7100.75,7035.049805,7100.75,7100.75,3847640000
39,2010-03-02,7100.799805,7168.120117,7100.799805,7135.970215,7135.970215,4134680000
40,2010-03-03,7135.970215,7212.279785,7135.970215,7164.660156,7164.660156,3951320000
41,2010-03-04,7164.669922,7193.0,7138.220215,7173.069823999999,7173.069823999999,3945010000
42,2010-03-05,7173.209961,7294.040039,7173.209961,7291.310059,7291.310059,4133000000
43,2010-03-08,7291.310059,7317.399901999999,7278.419922,7292.529785,7292.529785,3774680000
44,2010-03-09,7292.529785,7323.950195,7256.189941,7294.02002,7294.02002,5185570000
45,2010-03-10,7294.040039,7351.870117,7292.439941,7327.669922,7327.669922,5469120000
46,2010-03-11,7327.669922,7353.240234000001,7276.27002,7353.240234000001,7353.240234000001,4669060000
47,2010-03-12,7353.240234000001,7387.220215,7343.459961,7362.850098000001,7362.850098000001,4928160000
48,2010-03-15,7362.810059,7362.810059,7294.299805,7350.959961,7350.959961,4164110000
49,2010-03-16,7350.959961,7429.970215,7350.959961,7426.700195,7426.700195,4369770000
50,2010-03-17,7426.700195,7497.879883,7426.700195,7474.129883,7474.129883,4963200000
51,2010-03-18,7474.140137,7475.97998,7412.649901999999,7443.569823999999,7443.569823999999,4234510000
52,2010-03-19,7443.609863,7459.290039,7364.77002,7386.850098000001,7386.850098000001,5212410000
53,2010-03-22,7386.830078,7426.129883,7321.620117,7419.02002,7419.02002,4261680000
54,2010-03-23,7419.009765999999,7481.200195,7412.299805,7478.859863,7478.859863,4411640000
55,2010-03-24,7478.72998,7478.72998,7398.419922,7408.160156,7408.160156,4705750000
56,2010-03-25,7408.180176000001,7483.669922,7382.330078,7385.600098000001,7385.600098000001,5668900000
57,2010-03-26,7385.600098000001,7448.47998,7370.149901999999,7403.580078,7403.580078,4708420000
58,2010-03-29,7403.799805,7467.27002,7403.799805,7464.899901999999,7464.899901999999,4375580000
59,2010-03-30,7464.899901999999,7494.330078,7436.149901999999,7460.720215,7460.720215,4085000000
60,2010-03-31,7460.759765999999,7480.410156,7422.339844,7447.799805,7447.799805,4484340000
61,2010-04-01,7447.939941,7542.919922,7447.939941,7539.049805,7539.049805,4006870000
62,2010-04-05,7539.029785,7600.930176000001,7539.029785,7600.930176000001,7600.930176000001,3881620000
63,2010-04-06,7600.910156,7616.259765999999,7558.25,7604.439941,7604.439941,4086180000
64,2010-04-07,7604.430176000001,7604.430176000001,7515.939941,7546.180176000001,7546.180176000001,5101430000
65,2010-04-08,7546.149901999999,7575.060059,7481.640137,7565.330078,7565.330078,4726970000
66,2010-04-09,7565.419922,7630.52002,7565.419922,7629.049805,7629.049805,4511570000
67,2010-04-12,7629.040039,7661.129883,7629.040039,7641.75,7641.75,4607090000
68,2010-04-13,7641.75,7648.600098000001,7583.580078,7638.350098000001,7638.350098000001,5403580000
69,2010-04-14,7638.390137,7728.970215,7638.390137,7728.959961,7728.959961,5760040000
