Date,Open,High,Low,Close,Adj Close,Volume
2015-01-02,8.0575,8.06,7.915,7.975,6.557932000000001,13401600
2015-01-05,7.9175,7.935,7.835,7.875,6.475701,10076400
2015-01-06,7.8475,7.925,7.695,7.82,6.430473999999999,13290800
2015-01-07,7.85,8.0475,7.845,7.985,6.566155,23202800
2015-01-08,8.0125,8.08,8.0025,8.0275,6.601105,14087200
2015-01-09,8.6375,8.71,8.275,8.39,6.899191,21250000
2015-01-12,8.5025,8.525,8.3525,8.38,6.890969,14019600
2015-01-13,8.4475,8.525,8.405,8.465,6.960864999999999,12560800
2015-01-14,8.4875,8.5025,8.42,8.4725,6.967031,8686000
2015-01-15,8.54,8.675,8.5325,8.5425,7.024594,13886400
2015-01-16,8.575,8.6475,8.5075,8.6425,7.106825,9820400
2015-01-20,8.6625,8.72,8.58,8.65,7.112992,6111200
2015-01-21,8.7775,8.81,8.7075,8.7975,7.234284,10028800
2015-01-22,8.8725,8.955,8.81,8.95,7.359685000000001,12345200
2015-01-23,8.945,8.9625,8.825,8.875,7.298012,14085600
2015-01-26,8.8625,8.955,8.8625,8.9225,7.337072,8186800
2015-01-27,8.7075,8.8525,8.6875,8.785,7.224003999999999,13230000
2015-01-28,8.845,8.8825,8.775,8.785,7.224003999999999,9804400
2015-01-29,8.735,8.735,8.54,8.655,7.117103,10396800
2015-01-30,8.6375,8.6675,8.5125,8.52,7.006092999999999,9725600
2015-02-02,8.6725,8.685,8.5125,8.5875,7.061597999999999,7320400
2015-02-03,8.635,8.6525,8.5575,8.63,7.096547999999999,7856000
2015-02-04,8.715,8.81,8.66,8.695,7.149997,8541600
2015-02-05,8.785,8.9375,8.785,8.9375,7.349406,9281600
2015-02-06,8.9225,9.025,8.8875,8.9425,7.353519,9884000
2015-02-09,8.9625,9.1175,8.9275,9.05,7.441917999999999,10849200
2015-02-10,9.1225,9.1525,9.0125,9.1225,7.501535000000001,8038800
2015-02-11,9.095,9.1525,9.055,9.0825,7.468642999999999,6551600
2015-02-12,9.215,9.26,9.1475,9.1825,7.550872,10686000
2015-02-13,9.22,9.25,9.1175,9.15,7.524149,5887600
2015-02-17,9.08,9.1275,8.985,9.0425,7.435747999999999,9932800
2015-02-18,9.14,9.1425,9.1075,9.125,7.503589,8074000
2015-02-19,9.22,9.32,9.2025,9.3,7.647494999999999,8166400
2015-02-20,9.145,9.24,9.11,9.23,7.589933,6093600
2015-02-23,9.0925,9.1125,9.0375,9.0475,7.439862,7310400
2015-02-24,9.0775,9.1975,9.07,9.1875,7.554985,6253200
2015-02-25,9.25,9.305,9.14,9.1925,7.559096,9003600
2015-02-26,9.0925,9.1725,9.07,9.145,7.520036999999999,5613600
2015-02-27,9.1775,9.225,9.11,9.1775,7.546761999999999,9196800
2015-03-02,9.1775,9.1775,9.1125,9.15,7.524149,6452000
2015-03-03,9.2175,9.2725,9.2025,9.22,7.58171,9794400
2015-03-04,9.1175,9.18,9.0125,9.03,7.425469000000001,9094400
2015-03-05,9.0,9.0225,8.84,8.8725,7.295957,15684800
2015-03-06,8.8425,8.8775,8.77,8.81,7.244564,12893600
2015-03-09,8.6875,8.8,8.6625,8.7075,7.160275,13367200
2015-03-10,8.6825,8.695,8.6175,8.6725,7.131495,13158400
2015-03-11,8.6575,8.7425,8.6,8.6575,7.119159,7807200
2015-03-12,8.7225,8.8625,8.7175,8.8075,7.242507000000001,7992800
2015-03-13,8.79,8.825,8.7625,8.8025,7.238394,5885200
2015-03-16,8.94,9.045,8.885,9.03,7.425469000000001,7854400
2015-03-17,8.925,8.9525,8.86,8.9225,7.337072,7090800
2015-03-18,8.85,9.075,8.85,9.05,7.441917999999999,8745200
2015-03-19,8.98,9.0875,8.9675,8.995,7.39669,8547200
2015-03-20,9.09,9.1625,9.0275,9.0275,7.423414999999999,8358000
2015-03-23,8.9275,9.04,8.9075,8.9975,7.398746000000001,7698000
2015-03-24,8.9675,9.0025,8.93,8.93,7.34324,10542000
2015-03-25,8.945,8.965,8.7475,8.755,7.199333999999999,9961200
2015-03-26,8.6925,8.8,8.595,8.7375,7.184946000000001,21732000
2015-03-27,8.8225,8.9175,8.7425,8.875,7.298012,14756400
2015-03-30,8.9425,8.995,8.9075,8.945,7.355574000000001,7978800
2015-03-31,8.895,8.9025,8.77,8.77,7.21167,11417200
2015-04-01,8.7075,8.75,8.64,8.66,7.121216,13315200
2015-04-02,8.6625,8.695,8.6475,8.66,7.121216,5036400
2015-04-06,8.6825,8.705,8.6275,8.6375,7.102714,7016400
2015-04-07,8.6425,8.7925,8.6325,8.7675,7.209613,19201600
2015-04-08,8.8975,8.9625,8.855,8.945,7.355574000000001,7363600
2015-04-09,8.94,9.015,8.92,9.005,7.404911999999999,9372000
2015-04-10,9.04,9.08,8.9975,9.0775,7.464531,6551200
2015-04-13,9.025,9.11,9.0,9.055,7.446028,7345600
2015-04-14,9.0575,9.1,9.025,9.03,7.425469000000001,6351600
2015-04-15,8.9375,9.0475,8.88,9.0375,7.431638,9134000
2015-04-16,8.845,8.885,8.7875,8.8275,7.258953,10519600
2015-04-17,8.77,8.7975,8.665,8.775,7.215780000000001,9557200
2015-04-20,8.62,8.6625,8.57,8.63,7.096547999999999,19539600
2015-04-21,8.5925,8.69,8.5925,8.6375,7.102714,18726000
2015-04-22,8.585,8.68,8.5475,8.64,7.104767999999999,20770800
2015-04-23,8.64,8.795,8.5025,8.74,7.187002000000001,21999600
2015-04-24,8.1175,8.26,7.8625,7.9525,6.539431,61965200
2015-04-27,7.89,7.97,7.745,7.8275,6.436641000000001,25115600
2015-04-28,7.82,7.8925,7.7475,7.82,6.430473999999999,21934000
2015-04-29,7.77,7.835,7.7625,7.7875,6.403748999999999,15037600
2015-04-30,7.7425,7.7675,7.7175,7.745,6.3688,14210800
2015-05-01,7.7575,7.815,7.7475,7.7975,6.411972,6830800
2015-05-04,7.9375,8.0,7.885,7.885,6.483925,11470400
2015-05-05,7.79,7.8375,7.775,7.805,6.418139,9472000
2015-05-06,7.7175,7.73,7.6275,7.655,6.294794,11757200
